name,code
tribenoside,C05CX01
naftazone,C05CX02
hippocastani semen,C05CX03
corticosteroids,C05AA
hydrocortisone,C05AA01
prednisolone,C05AA04
betamethasone,C05AA05
fluorometholone,C05AA06
fluocortolone,C05AA08
dexamethasone,C05AA09
fluocinolone acetonide,C05AA10
fluocinonide,C05AA11
triamcinolone,C05AA12
beta blocking agents,C07
beta blocking agents,C07A
"beta blocking agents, selective",C07AB
practolol,C07AB01
metoprolol,C07AB02
atenolol,C07AB03
acebutolol,C07AB04
betaxolol,C07AB05
bevantolol,C07AB06
bisoprolol,C07AB07
celiprolol,C07AB08
esmolol,C07AB09
epanolol,C07AB10
s-atenolol,C07AB11
nebivolol,C07AB12
talinolol,C07AB13
landiolol,C07AB14
alpha and beta blocking agents,C07AG
labetalol,C07AG01
carvedilol,C07AG02
beta blocking agents and thiazides,C07B
"beta blocking agents, non-selective, and thiazides",C07BA
oxprenolol and thiazides,C07BA02
propranolol and thiazides,C07BA05
timolol and thiazides,C07BA06
sotalol and thiazides,C07BA07
nadolol and thiazides,C07BA12
"metipranolol and thiazides, combinations",C07BA68
"beta blocking agents, selective, and thiazides",C07BB
metoprolol and thiazides,C07BB02
atenolol and thiazides,C07BB03
acebutolol and thiazides,C07BB04
bevantolol and thiazides,C07BB06
bisoprolol and thiazides,C07BB07
nebivolol and thiazides,C07BB12
"metoprolol and thiazides, combinations",C07BB52
alpha and beta blocking agents and thiazides,C07BG
labetalol and thiazides,C07BG01
beta blocking agents and other diuretics,C07C
"beta blocking agents, non-selective, and other diuretics",C07CA
oxprenolol and other diuretics,C07CA02
pindolol and other diuretics,C07CA03
bopindolol and other diuretics,C07CA17
penbutolol and other diuretics,C07CA23
"beta blocking agents, selective, and other diuretics",C07CB
metoprolol and other diuretics,C07CB02
atenolol and other diuretics,C07CB03
"atenolol and other diuretics, combinations",C07CB53
alpha and beta blocking agents and other diuretics,C07CG
labetalol and other diuretics,C07CG01
"beta blocking agents, thiazides and other diuretics",C07D
"beta blocking agents, non-selective, thiazides and other diuretics",C07DA
"timolol, thiazides and other diuretics",C07DA06
"beta blocking agents, selective, thiazides and other diuretics",C07DB
"atenolol, thiazides and other diuretics",C07DB01
beta blocking agents and vasodilators,C07E
"beta blocking agents, non-selective, and vasodilators",C07EA
"beta blocking agents, selective, and vasodilators",C07EB
"beta blocking agents, other combinations",C07F
beta blocking agents and calcium channel blockers,C07FB
metoprolol and felodipine,C07FB02
atenolol and nifedipine,C07FB03
bisoprolol and amlodipine,C07FB07
nebivolol and amlodipine,C07FB12
metoprolol and amlodipine,C07FB13
"beta blocking agents, other combinations",C07FX
propranolol and other combinations,C07FX01
sotalol and acetylsalicylic acid,C07FX02
metoprolol and acetylsalicylic acid,C07FX03
bisoprolol and acetylsalicylic acid,C07FX04
metoprolol and ivabradine,C07FX05
carvedilol and ivabradine,C07FX06
"beta blocking agents, non-selective",C07AA
alprenolol,C07AA01
oxprenolol,C07AA02
pindolol,C07AA03
propranolol,C07AA05
timolol,C07AA06
sotalol,C07AA07
nadolol,C07AA12
mepindolol,C07AA14
carteolol,C07AA15
tertatolol,C07AA16
bopindolol,C07AA17
bupranolol,C07AA19
penbutolol,C07AA23
cloranolol,C07AA27
calcium channel blockers,C08
selective calcium channel blockers with mainly vascular effects,C08C
dihydropyridine derivatives,C08CA
amlodipine,C08CA01
felodipine,C08CA02
isradipine,C08CA03
nicardipine,C08CA04
nifedipine,C08CA05
nimodipine,C08CA06
nisoldipine,C08CA07
nitrendipine,C08CA08
lacidipine,C08CA09
nilvadipine,C08CA10
manidipine,C08CA11
barnidipine,C08CA12
lercanidipine,C08CA13
cilnidipine,C08CA14
benidipine,C08CA15
clevidipine,C08CA16
amlodipine and celecoxib,C08CA51
"nifedipine, combinations",C08CA55
other selective calcium channel blockers with mainly vascular effects,C08CX
mibefradil,C08CX01
selective calcium channel blockers with direct cardiac effects,C08D
phenylalkylamine derivatives,C08DA
verapamil,C08DA01
gallopamil,C08DA02
"verapamil, combinations",C08DA51
benzothiazepine derivatives,C08DB
diltiazem,C08DB01
non-selective calcium channel blockers,C08E
phenylalkylamine derivatives,C08EA
fendiline,C08EA01
bepridil,C08EA02
other non-selective calcium channel blockers,C08EX
lidoflazine,C08EX01
perhexiline,C08EX02
calcium channel blockers and diuretics,C08G
calcium channel blockers and diuretics,C08GA
nifedipine and diuretics,C08GA01
amlodipine and diuretics,C08GA02
agents acting on the renin-angiotensin system,C09
"ace inhibitors, plain",C09A
"ace inhibitors, combinations",C09B
ace inhibitors and diuretics,C09BA
captopril and diuretics,C09BA01
enalapril and diuretics,C09BA02
lisinopril and diuretics,C09BA03
perindopril and diuretics,C09BA04
ramipril and diuretics,C09BA05
quinapril and diuretics,C09BA06
benazepril and diuretics,C09BA07
cilazapril and diuretics,C09BA08
fosinopril and diuretics,C09BA09
delapril and diuretics,C09BA12
moexipril and diuretics,C09BA13
zofenopril and diuretics,C09BA15
ace inhibitors and calcium channel blockers,C09BB
enalapril and lercanidipine,C09BB02
lisinopril and amlodipine,C09BB03
perindopril and amlodipine,C09BB04
ramipril and felodipine,C09BB05
enalapril and nitrendipine,C09BB06
ramipril and amlodipine,C09BB07
trandolapril and verapamil,C09BB10
delapril and manidipine,C09BB12
"ace inhibitors, other combinations",C09BX
"perindopril, amlodipine and indapamide",C09BX01
perindopril and bisoprolol,C09BX02
"ramipril, amlodipine and hydrochlorothiazide",C09BX03
"perindopril, bisoprolol and amlodipine",C09BX04
ramipril and bisoprolol,C09BX05
"angiotensin ii receptor blockers (arbs), plain",C09C
"angiotensin ii receptor blockers (arbs), plain",C09CA
losartan,C09CA01
eprosartan,C09CA02
valsartan,C09CA03
irbesartan,C09CA04
tasosartan,C09CA05
candesartan,C09CA06
telmisartan,C09CA07
olmesartan medoxomil,C09CA08
azilsartan medoxomil,C09CA09
fimasartan,C09CA10
"angiotensin ii receptor blockers (arbs), combinations",C09D
angiotensin ii receptor blockers (arbs) and diuretics,C09DA
losartan and diuretics,C09DA01
eprosartan and diuretics,C09DA02
valsartan and diuretics,C09DA03
irbesartan and diuretics,C09DA04
candesartan and diuretics,C09DA06
telmisartan and diuretics,C09DA07
olmesartan medoxomil and diuretics,C09DA08
azilsartan medoxomil and diuretics,C09DA09
fimasartan and diuretics,C09DA10
angiotensin ii receptor blockers (arbs) and calcium channel blockers,C09DB
valsartan and amlodipine,C09DB01
olmesartan medoxomil and amlodipine,C09DB02
telmisartan and amlodipine,C09DB04
irbesartan and amlodipine,C09DB05
losartan and amlodipine,C09DB06
candesartan and amlodipine,C09DB07
valsartan and lercanidipine,C09DB08
fimasartan and amlodipine,C09DB09
"angiotensin ii receptor blockers (arbs), other combinations",C09DX
"valsartan, amlodipine and hydrochlorothiazide",C09DX01
valsartan and aliskiren,C09DX02
"olmesartan medoxomil, amlodipine and hydrochlorothiazide",C09DX03
valsartan and sacubitril,C09DX04
valsartan and nebivolol,C09DX05
"candesartan, amlodipine and hydrochlorothiazide",C09DX06
"irbesartan, amlodipine and hydrochlorothiazide",C09DX07
other agents acting on the renin-angiotensin system,C09X
renin-inhibitors,C09XA
remikiren,C09XA01
aliskiren,C09XA02
aliskiren and hydrochlorothiazide,C09XA52
aliskiren and amlodipine,C09XA53
"aliskiren, amlodipine and hydrochlorothiazide",C09XA54
"ace inhibitors, plain",C09AA
captopril,C09AA01
enalapril,C09AA02
lisinopril,C09AA03
perindopril,C09AA04
ramipril,C09AA05
quinapril,C09AA06
benazepril,C09AA07
cilazapril,C09AA08
fosinopril,C09AA09
trandolapril,C09AA10
spirapril,C09AA11
delapril,C09AA12
moexipril,C09AA13
temocapril,C09AA14
zofenopril,C09AA15
imidapril,C09AA16
lipid modifying agents,C10
"lipid modifying agents, plain",C10A
fibrates,C10AB
clofibrate,C10AB01
bezafibrate,C10AB02
aluminium clofibrate,C10AB03
gemfibrozil,C10AB04
fenofibrate,C10AB05
simfibrate,C10AB06
ronifibrate,C10AB07
ciprofibrate,C10AB08
etofibrate,C10AB09
clofibride,C10AB10
choline fenofibrate,C10AB11
bile acid sequestrants,C10AC
colestyramine,C10AC01
colestipol,C10AC02
colextran,C10AC03
colesevelam,C10AC04
nicotinic acid and derivatives,C10AD
niceritrol,C10AD01
nicotinic acid,C10AD02
nicofuranose,C10AD03
aluminium nicotinate,C10AD04
nicotinyl alcohol (pyridylcarbinol),C10AD05
acipimox,C10AD06
"nicotinic acid, combinations",C10AD52
other lipid modifying agents,C10AX
dextrothyroxine,C10AX01
probucol,C10AX02
tiadenol,C10AX03
meglutol,C10AX05
omega-3-triglycerides incl. other esters and acids,C10AX06
magnesium pyridoxal 5-phosphate glutamate,C10AX07
policosanol,C10AX08
ezetimibe,C10AX09
alipogene tiparvovec,C10AX10
mipomersen,C10AX11
lomitapide,C10AX12
evolocumab,C10AX13
alirocumab,C10AX14
bempedoic acid,C10AX15
inclisiran,C10AX16
"lipid modifying agents, combinations",C10B
combinations of various lipid modifying agents,C10BA
lovastatin and nicotinic acid,C10BA01
simvastatin and ezetimibe,C10BA02
pravastatin and fenofibrate,C10BA03
simvastatin and fenofibrate,C10BA04
atorvastatin and ezetimibe,C10BA05
rosuvastatin and ezetimibe,C10BA06
rosuvastatin and omega-3 fatty acids,C10BA07
atorvastatin and omega-3 fatty acids,C10BA08
rosuvastatin and fenofibrate,C10BA09
bempedoic acid and ezetimibe,C10BA10
lipid modifying agents in combination with other drugs,C10BX
simvastatin and acetylsalicylic acid,C10BX01
pravastatin and acetylsalicylic acid,C10BX02
atorvastatin and amlodipine,C10BX03
"simvastatin, acetylsalicylic acid and ramipril",C10BX04
rosuvastatin and acetylsalicylic acid,C10BX05
"atorvastatin, acetylsalicylic acid and ramipril",C10BX06
"rosuvastatin, amlodipine and lisinopril",C10BX07
atorvastatin and acetylsalicylic acid,C10BX08
rosuvastatin and amlodipine,C10BX09
rosuvastatin and valsartan,C10BX10
"atorvastatin, amlodipine and perindopril",C10BX11
"atorvastatin, acetylsalicylic acid and perindopril",C10BX12
"rosuvastatin, perindopril and indapamide",C10BX13
"rosuvastatin, amlodipine and perindopril",C10BX14
atorvastatin and perindopril,C10BX15
rosuvastatin and fimasartan,C10BX16
rosuvastatin and ramipril,C10BX17
"atorvastatin, amlodipine and ramipril",C10BX18
hmg coa reductase inhibitors,C10AA
simvastatin,C10AA01
lovastatin,C10AA02
pravastatin,C10AA03
fluvastatin,C10AA04
atorvastatin,C10AA05
cerivastatin,C10AA06
rosuvastatin,C10AA07
pitavastatin,C10AA08
dermatologicals,D
antifungals for dermatological use,D01
antifungals for topical use,D01A
imidazole and triazole derivatives,D01AC
clotrimazole,D01AC01
miconazole,D01AC02
econazole,D01AC03
chlormidazole,D01AC04
isoconazole,D01AC05
tiabendazole,D01AC06
tioconazole,D01AC07
ketoconazole,D01AC08
sulconazole,D01AC09
bifonazole,D01AC10
oxiconazole,D01AC11
fenticonazole,D01AC12
omoconazole,D01AC13
sertaconazole,D01AC14
fluconazole,D01AC15
flutrimazole,D01AC16
eberconazole,D01AC17
luliconazole,D01AC18
efinaconazole,D01AC19
imidazoles/triazoles in combination with corticosteroids,D01AC20
"miconazole, combinations",D01AC52
"bifonazole, combinations",D01AC60
other antifungals for topical use,D01AE
bromochlorosalicylanilide,D01AE01
methylrosaniline,D01AE02
tribromometacresol,D01AE03
undecylenic acid,D01AE04
polynoxylin,D01AE05
2-(4-chlorphenoxy)-ethanol,D01AE06
chlorphenesin,D01AE07
ticlatone,D01AE08
sulbentine,D01AE09
ethyl hydroxybenzoate,D01AE10
haloprogin,D01AE11
salicylic acid,D01AE12
selenium sulfide,D01AE13
ciclopirox,D01AE14
terbinafine,D01AE15
amorolfine,D01AE16
dimazole,D01AE17
tolnaftate,D01AE18
tolciclate,D01AE19
combinations,D01AE20
flucytosine,D01AE21
naftifine,D01AE22
butenafine,D01AE23
tavaborole,D01AE24
"undecylenic acid, combinations",D01AE54
antifungals for systemic use,D01B
antifungals for systemic use,D01BA
griseofulvin,D01BA01
terbinafine,D01BA02
fosravuconazole,D01BA03
antibiotics,D01AA
nystatin,D01AA01
natamycin,D01AA02
hachimycin,D01AA03
pecilocin,D01AA04
mepartricin,D01AA06
pyrrolnitrin,D01AA07
griseofulvin,D01AA08
combinations,D01AA20
emollients and protectives,D02
emollients and protectives,D02A
zinc products,D02AB
soft paraffin and fat products,D02AC
liquid plasters,D02AD
carbamide products,D02AE
carbamide,D02AE01
"carbamide, combinations",D02AE51
salicylic acid preparations,D02AF
other emollients and protectives,D02AX
protectives against uv-radiation,D02B
protectives against uv-radiation for topical use,D02BA
aminobenzoic acid,D02BA01
octinoxate,D02BA02
protectives against uv-radiation for systemic use,D02BB
betacarotene,D02BB01
afamelanotide,D02BB02
silicone products,D02AA
preparations for treatment of wounds and ulcers,D03
cicatrizants,D03A
other cicatrizants,D03AX
cadexomer iodine,D03AX01
dextranomer,D03AX02
dexpanthenol,D03AX03
calcium pantothenate,D03AX04
hyaluronic acid,D03AX05
becaplermin,D03AX06
crilanomer,D03AX09
enoxolone,D03AX10
sodium chlorite,D03AX11
trolamine,D03AX12
betulae cortex,D03AX13
centella asiatica herba,D03AX14
enzymes,D03B
proteolytic enzymes,D03BA
trypsin,D03BA01
collagenase,D03BA02
bromelains,D03BA03
"collagenase, combinations",D03BA52
cod-liver oil ointments,D03AA
"antipruritics, incl. antihistamines, anesthetics, etc.",D04
"antipruritics, incl. antihistamines, anesthetics, etc.",D04A
anesthetics for topical use,D04AB
lidocaine,D04AB01
cinchocaine,D04AB02
oxybuprocaine,D04AB03
benzocaine,D04AB04
quinisocaine,D04AB05
tetracaine,D04AB06
pramocaine,D04AB07
other antipruritics,D04AX
doxepin,D04AX01
antihistamines for topical use,D04AA
thonzylamine,D04AA01
mepyramine,D04AA02
thenalidine,D04AA03
tripelennamine,D04AA04
chloropyramine,D04AA09
promethazine,D04AA10
tolpropamine,D04AA12
dimetindene,D04AA13
clemastine,D04AA14
bamipine,D04AA15
pheniramine,D04AA16
isothipendyl,D04AA22
diphenhydramine,D04AA32
diphenhydramine methylbromide,D04AA33
chlorphenoxamine,D04AA34
antipsoriatics,D05
antipsoriatics for topical use,D05A
antracen derivatives,D05AC
dithranol,D05AC01
"dithranol, combinations",D05AC51
psoralens for topical use,D05AD
trioxysalen,D05AD01
methoxsalen,D05AD02
other antipsoriatics for topical use,D05AX
fumaric acid,D05AX01
calcipotriol,D05AX02
calcitriol,D05AX03
tacalcitol,D05AX04
tazarotene,D05AX05
"calcipotriol, combinations",D05AX52
tazarotene and ulobetasol,D05AX55
antipsoriatics for systemic use,D05B
psoralens for systemic use,D05BA
trioxysalen,D05BA01
methoxsalen,D05BA02
bergapten,D05BA03
retinoids for treatment of psoriasis,D05BB
etretinate,D05BB01
acitretin,D05BB02
other antipsoriatics for systemic use,D05BX
"fumaric acid derivatives, combinations",D05BX51
tars,D05AA
antibiotics and chemotherapeutics for dermatological use,D06
antibiotics for topical use,D06A
other antibiotics for topical use,D06AX
fusidic acid,D06AX01
chloramphenicol,D06AX02
neomycin,D06AX04
bacitracin,D06AX05
gentamicin,D06AX07
tyrothricin,D06AX08
mupirocin,D06AX09
virginiamycin,D06AX10
rifaximin,D06AX11
amikacin,D06AX12
retapamulin,D06AX13
ozenoxacin,D06AX14
rifamycin,D06AX15
chemotherapeutics for topical use,D06B
sulfonamides,D06BA
silver sulfadiazine,D06BA01
sulfathiazole,D06BA02
mafenide,D06BA03
sulfamethizole,D06BA04
sulfanilamide,D06BA05
sulfamerazine,D06BA06
"silver sulfadiazine, combinations",D06BA51
antivirals,D06BB
idoxuridine,D06BB01
tromantadine,D06BB02
aciclovir,D06BB03
podophyllotoxin,D06BB04
inosine,D06BB05
penciclovir,D06BB06
lysozyme,D06BB07
ibacitabine,D06BB08
edoxudine,D06BB09
imiquimod,D06BB10
docosanol,D06BB11
sinecatechins,D06BB12
"aciclovir, combinations",D06BB53
other chemotherapeutics,D06BX
metronidazole,D06BX01
ingenol mebutate,D06BX02
tirbanibulin,D06BX03
"antibiotics and chemotherapeutics, combinations",D06C
tetracycline and derivatives,D06AA
demeclocycline,D06AA01
chlortetracycline,D06AA02
oxytetracycline,D06AA03
tetracycline,D06AA04
"corticosteroids, dermatological preparations",D07
"corticosteroids, plain",D07A
"corticosteroids, moderately potent (group ii)",D07AB
clobetasone,D07AB01
hydrocortisone butyrate,D07AB02
flumetasone,D07AB03
fluocortin,D07AB04
fluperolone,D07AB05
fluorometholone,D07AB06
fluprednidene,D07AB07
desonide,D07AB08
triamcinolone,D07AB09
alclometasone,D07AB10
hydrocortisone buteprate,D07AB11
dexamethasone,D07AB19
clocortolone,D07AB21
combinations of corticosteroids,D07AB30
"corticosteroids, potent (group iii)",D07AC
betamethasone,D07AC01
fluclorolone,D07AC02
desoximetasone,D07AC03
fluocinolone acetonide,D07AC04
fluocortolone,D07AC05
diflucortolone,D07AC06
fludroxycortide,D07AC07
fluocinonide,D07AC08
budesonide,D07AC09
diflorasone,D07AC10
amcinonide,D07AC11
halometasone,D07AC12
mometasone,D07AC13
methylprednisolone aceponate,D07AC14
beclometasone,D07AC15
hydrocortisone aceponate,D07AC16
fluticasone,D07AC17
prednicarbate,D07AC18
difluprednate,D07AC19
ulobetasol,D07AC21
"corticosteroids, very potent (group iv)",D07AD
clobetasol,D07AD01
halcinonide,D07AD02
"corticosteroids, combinations with antiseptics",D07B
"corticosteroids, weak, combinations with antiseptics",D07BA
prednisolone and antiseptics,D07BA01
hydrocortisone and antiseptics,D07BA04
"corticosteroids, moderately potent, combinations with antiseptics",D07BB
flumetasone and antiseptics,D07BB01
desonide and antiseptics,D07BB02
triamcinolone and antiseptics,D07BB03
hydrocortisone butyrate and antiseptics,D07BB04
"corticosteroids, potent, combinations with antiseptics",D07BC
betamethasone and antiseptics,D07BC01
fluocinolone acetonide and antiseptics,D07BC02
fluocortolone and antiseptics,D07BC03
diflucortolone and antiseptics,D07BC04
"corticosteroids, very potent, combinations with antiseptics",D07BD
"corticosteroids, combinations with antibiotics",D07C
"corticosteroids, weak, combinations with antibiotics",D07CA
hydrocortisone and antibiotics,D07CA01
methylprednisolone and antibiotics,D07CA02
prednisolone and antibiotics,D07CA03
"corticosteroids, moderately potent, combinations with antibiotics",D07CB
triamcinolone and antibiotics,D07CB01
fluprednidene and antibiotics,D07CB02
fluorometholone and antibiotics,D07CB03
dexamethasone and antibiotics,D07CB04
flumetasone and antibiotics,D07CB05
"corticosteroids, potent, combinations with antibiotics",D07CC
betamethasone and antibiotics,D07CC01
fluocinolone acetonide and antibiotics,D07CC02
fludroxycortide and antibiotics,D07CC03
beclometasone and antibiotics,D07CC04
fluocinonide and antibiotics,D07CC05
fluocortolone and antibiotics,D07CC06
"corticosteroids, very potent, combinations with antibiotics",D07CD
clobetasol and antibiotics,D07CD01
"corticosteroids, other combinations",D07X
"corticosteroids, weak, other combinations",D07XA
hydrocortisone,D07XA01
prednisolone,D07XA02
"corticosteroids, moderately potent, other combinations",D07XB
flumetasone,D07XB01
triamcinolone,D07XB02
fluprednidene,D07XB03
fluorometholone,D07XB04
dexamethasone,D07XB05
combinations of corticosteroids,D07XB30
"corticosteroids, potent, other combinations",D07XC
betamethasone,D07XC01
desoximetasone,D07XC02
mometasone,D07XC03
diflucortolone,D07XC04
fluocortolone,D07XC05
"corticosteroids, very potent, other combinations",D07XD
"corticosteroids, weak (group i)",D07AA
methylprednisolone,D07AA01
hydrocortisone,D07AA02
prednisolone,D07AA03
antiseptics and disinfectants,D08
antiseptics and disinfectants,D08A
aluminium agents,D08AB
biguanides and amidines,D08AC
dibrompropamidine,D08AC01
chlorhexidine,D08AC02
propamidine,D08AC03
hexamidine,D08AC04
polihexanide,D08AC05
"chlorhexidine, combinations",D08AC52
boric acid products,D08AD
phenol and derivatives,D08AE
hexachlorophene,D08AE01
policresulen,D08AE02
phenol,D08AE03
triclosan,D08AE04
chloroxylenol,D08AE05
biphenylol,D08AE06
nitrofuran derivatives,D08AF
nitrofural,D08AF01
iodine products,D08AG
iodine/octylphenoxypolyglycolether,D08AG01
povidone-iodine,D08AG02
iodine,D08AG03
diiodohydroxypropane,D08AG04
quinoline derivatives,D08AH
dequalinium,D08AH01
chlorquinaldol,D08AH02
oxyquinoline,D08AH03
clioquinol,D08AH30
quaternary ammonium compounds,D08AJ
benzalkonium,D08AJ01
cetrimonium,D08AJ02
cetylpyridinium,D08AJ03
cetrimide,D08AJ04
benzoxonium chloride,D08AJ05
didecyldimethylammonium chloride,D08AJ06
benzethonium chloride,D08AJ08
decamethoxine,D08AJ10
"octenidine, combinations",D08AJ57
"benzethonium chloride, combinations",D08AJ58
"dodeclonium bromide, combinations",D08AJ59
mercurial products,D08AK
mercuric amidochloride,D08AK01
phenylmercuric borate,D08AK02
mercuric chloride,D08AK03
merbromin,D08AK04
"mercury, metallic",D08AK05
thiomersal,D08AK06
mercuric iodide,D08AK30
silver compounds,D08AL
silver nitrate,D08AL01
silver,D08AL30
other antiseptics and disinfectants,D08AX
hydrogen peroxide,D08AX01
eosin,D08AX02
propanol,D08AX03
tosylchloramide sodium,D08AX04
isopropanol,D08AX05
potassium permanganate,D08AX06
sodium hypochlorite,D08AX07
ethanol,D08AX08
"propanol, combinations",D08AX53
acridine derivatives,D08AA
ethacridine lactate,D08AA01
aminoacridine,D08AA02
euflavine,D08AA03
medicated dressings,D09
medicated dressings,D09A
zinc bandages,D09AB
zinc bandage without supplements,D09AB01
zinc bandage with supplements,D09AB02
soft paraffin dressings,D09AX
medicated dressings with antiinfectives,D09AA
framycetin,D09AA01
fusidic acid,D09AA02
nitrofural,D09AA03
phenylmercuric nitrate,D09AA04
benzododecinium,D09AA05
triclosan,D09AA06
cetylpyridinium,D09AA07
aluminium chlorohydrate,D09AA08
povidone-iodine,D09AA09
clioquinol,D09AA10
benzalkonium,D09AA11
chlorhexidine,D09AA12
iodoform,D09AA13
anti-acne preparations,D10
anti-acne preparations for topical use,D10A
preparations containing sulfur,D10AB
bithionol,D10AB01
sulfur,D10AB02
tioxolone,D10AB03
mesulfen,D10AB05
retinoids for topical use in acne,D10AD
tretinoin,D10AD01
retinol,D10AD02
adapalene,D10AD03
isotretinoin,D10AD04
motretinide,D10AD05
trifarotene,D10AD06
"tretinoin, combinations",D10AD51
"adapalene, combinations",D10AD53
"isotretinoin, combinations",D10AD54
peroxides,D10AE
benzoyl peroxide,D10AE01
"benzoyl peroxide, combinations",D10AE51
antiinfectives for treatment of acne,D10AF
clindamycin,D10AF01
erythromycin,D10AF02
chloramphenicol,D10AF03
meclocycline,D10AF04
nadifloxacin,D10AF05
sulfacetamide,D10AF06
minocycline,D10AF07
"clindamycin, combinations",D10AF51
"erythromycin, combinations",D10AF52
other anti-acne preparations for topical use,D10AX
aluminium chloride,D10AX01
resorcinol,D10AX02
azelaic acid,D10AX03
aluminium oxide,D10AX04
dapsone,D10AX05
various combinations,D10AX30
anti-acne preparations for systemic use,D10B
retinoids for treatment of acne,D10BA
isotretinoin,D10BA01
other anti-acne preparations for systemic use,D10BX
ichtasol,D10BX01
"corticosteroids, combinations for treatment of acne",D10AA
fluorometholone,D10AA01
methylprednisolone,D10AA02
dexamethasone,D10AA03
other dermatological preparations,D11
other dermatological preparations,D11A
medicated shampoos,D11AC
cetrimide,D11AC01
cadmium compounds,D11AC02
selenium compounds,D11AC03
povidone-iodine,D11AC06
sulfur compounds,D11AC08
xenysalate,D11AC09
others,D11AC30
androgens for topical use,D11AE
metandienone,D11AE01
wart and anti-corn preparations,D11AF
"agents for dermatitis, excluding corticosteroids",D11AH
tacrolimus,D11AH01
pimecrolimus,D11AH02
cromoglicic acid,D11AH03
alitretinoin,D11AH04
dupilumab,D11AH05
crisaborole,D11AH06
tralokinumab,D11AH07
other dermatologicals,D11AX
minoxidil,D11AX01
gamolenic acid,D11AX02
calcium gluconate,D11AX03
lithium succinate,D11AX04
magnesium sulfate,D11AX05
mequinol,D11AX06
tiratricol,D11AX08
oxaceprol,D11AX09
finasteride,D11AX10
hydroquinone,D11AX11
pyrithione zinc,D11AX12
monobenzone,D11AX13
eflornithine,D11AX16
diclofenac,D11AX18
brimonidine,D11AX21
ivermectin,D11AX22
aminobenzoate potassium,D11AX23
deoxycholic acid,D11AX24
hydrogen peroxide,D11AX25
caffeine,D11AX26
"gamolenic acid, combinations",D11AX52
"collagen, combinations",D11AX57
antihidrotics,D11AA
glycopyrronium,D11AA01
genito urinary system and sex hormones,G
gynecological antiinfectives and antiseptics,G01
"antiinfectives and antiseptics, excl. combinations with corticosteroids",G01A
arsenic compounds,G01AB
acetarsol,G01AB01
quinoline derivatives,G01AC
diiodohydroxyquinoline,G01AC01
clioquinol,G01AC02
chlorquinaldol,G01AC03
dequalinium,G01AC05
broxyquinoline,G01AC06
oxyquinoline,G01AC30
organic acids,G01AD
lactic acid,G01AD01
acetic acid,G01AD02
ascorbic acid,G01AD03
sulfonamides,G01AE
sulfatolamide,G01AE01
combinations of sulfonamides,G01AE10
imidazole derivatives,G01AF
metronidazole,G01AF01
clotrimazole,G01AF02
miconazole,G01AF04
econazole,G01AF05
ornidazole,G01AF06
isoconazole,G01AF07
tioconazole,G01AF08
ketoconazole,G01AF11
fenticonazole,G01AF12
azanidazole,G01AF13
propenidazole,G01AF14
butoconazole,G01AF15
omoconazole,G01AF16
oxiconazole,G01AF17
flutrimazole,G01AF18
sertaconazole,G01AF19
combinations of imidazole derivatives,G01AF20
"econazole, combinations",G01AF55
triazole derivatives,G01AG
terconazole,G01AG02
other antiinfectives and antiseptics,G01AX
clodantoin,G01AX01
inosine,G01AX02
policresulen,G01AX03
nifuratel,G01AX05
furazolidone,G01AX06
methylrosaniline,G01AX09
povidone-iodine,G01AX11
ciclopirox,G01AX12
protiofate,G01AX13
lactobacillus,G01AX14
copper usnate,G01AX15
hexetidine,G01AX16
dapivirine,G01AX17
"octenidine, combinations",G01AX66
antiinfectives/antiseptics in combination with corticosteroids,G01B
antibiotics and corticosteroids,G01BA
quinoline derivatives and corticosteroids,G01BC
antiseptics and corticosteroids,G01BD
sulfonamides and corticosteroids,G01BE
imidazole derivatives and corticosteroids,G01BF
antibiotics,G01AA
nystatin,G01AA01
natamycin,G01AA02
amphotericin b,G01AA03
candicidin,G01AA04
chloramphenicol,G01AA05
hachimycin,G01AA06
oxytetracycline,G01AA07
carfecillin,G01AA08
mepartricin,G01AA09
clindamycin,G01AA10
pentamycin,G01AA11
"nystatin, combinations",G01AA51
other gynecologicals,G02
uterotonics,G02A
ergot alkaloids,G02AB
methylergometrine,G02AB01
ergot alkaloids,G02AB02
ergometrine,G02AB03
"ergot alkaloids and oxytocin incl. analogues, in combination",G02AC
methylergometrine and oxytocin,G02AC01
prostaglandins,G02AD
dinoprost,G02AD01
dinoprostone,G02AD02
gemeprost,G02AD03
carboprost,G02AD04
sulprostone,G02AD05
misoprostol,G02AD06
other uterotonics,G02AX
contraceptives for topical use,G02B
intrauterine contraceptives,G02BA
plastic iud,G02BA01
plastic iud with copper,G02BA02
plastic iud with progestogen,G02BA03
intravaginal contraceptives,G02BB
vaginal ring with progestogen and estrogen,G02BB01
vaginal ring with progestogen,G02BB02
other gynecologicals,G02C
"sympathomimetics, labour repressants",G02CA
ritodrine,G02CA01
buphenine,G02CA02
fenoterol,G02CA03
prolactine inhibitors,G02CB
bromocriptine,G02CB01
lisuride,G02CB02
cabergoline,G02CB03
quinagolide,G02CB04
metergoline,G02CB05
terguride,G02CB06
antiinflammatory products for vaginal administration,G02CC
ibuprofen,G02CC01
naproxen,G02CC02
benzydamine,G02CC03
flunoxaprofen,G02CC04
other gynecologicals,G02CX
atosiban,G02CX01
flibanserin,G02CX02
agni casti fructus,G02CX03
cimicifugae rhizoma,G02CX04
